,Foreign_table,Foreign_key,Primary_table,Primary_key,F1,F2,F5,F6,F8,F9,F10
0,investigator,email_id,investigator_awards,email_id,0.9999733681323072,0.995,0.2,1,0,1,4.233201949452715
2,investigator_awards,email_id,investigator,email_id,0.2362340950913008,0.995,0.2,0,0,1,0.2362278039036819
6,investigator_awards,award_id,institution_awards,award_id,0.6748383951180384,0.997,0.6,0,1,1,0.6554458092826473
7,program_element_awards,award_id,institution_awards,award_id,0.7210417125963109,0.999,0.6,0,0,1,1.1778876320653924
11,foa_info,code,institution_awards,award_id,1.0,0.99,0.6,0,0,0,2083.695
13,institution_awards,award_id,investigator_awards,award_id,1.0,0.997,0.6,0,1,1,1.5256791421009313
14,program_element_awards,award_id,investigator_awards,award_id,0.7210417125963109,0.998,0.6,0,0,1,1.7970785919808254
18,foa_info,code,investigator_awards,award_id,1.0,0.988,0.6,0,0,0,3179.05
20,institution_awards,award_id,program_element_awards,award_id,1.0,0.999,0.6,0,0,1,0.8489774175203184
21,investigator_awards,award_id,program_element_awards,award_id,0.6748383951180384,0.998,0.6,0,0,1,0.5564586904892971
25,foa_info,code,program_element_awards,award_id,1.0,0.989,0.6,0,0,0,1769.01
31,foa_info_awards,award_id,organization,code,0.636819266871662,0.996,0.4,0,0,1,0.0012011450072827
32,foa_info,code,organization,code,1.0,0.992,0.4,0,0,0,2.375
46,organization,code,foa_info_awards,award_id,1.0,0.996,0.4,0,0,0,832.538947368421
47,foa_info,code,foa_info_awards,award_id,1.0,0.995,0.4,1,0,0,1977.28
52,institution_awards,award_id,foa_info,code,1.0,0.99,1.0,0,0,1,0.0004799166864632
53,investigator_awards,award_id,foa_info,code,0.6748383951180384,0.988,1.0,0,0,1,0.0003145593809471
54,program_element_awards,award_id,foa_info,code,0.7210417125963109,0.989,1.0,0,0,1,0.0005652879294068
55,organization,code,foa_info,code,1.0,0.992,1.0,0,0,0,0.4210526315789473
57,foa_info_awards,award_id,foa_info,code,0.636819266871662,0.995,1.0,0,0,1,0.0005057452662243
